ID,oldID,Headword,forename,surname,gender,Free Born in North America,Free before 13th Amendment,Ever Enslaved,How was freedom attained,Other/Uncertain Status,African born ,"Parent information. Free, Enslaved, Unknown",Runaways and rebels ,Education/literacy,Religion,Slave Narrative or memoir AUTHOR,Notes,images ,Suffix,simpleName,altNames,birthDay,birthMonth,birthYear,birthAttribute,Birth Date unknown,altBirthDay,altBirthMonth,altBirthYear,deathDay,deathMonth,deathYear,deathAttribute,altDeathDay,altDeathMonth,altDeathYear,birthPlaceDescription,birthPlaceParish,birthPlaceCity,birthPlaceCounty,birthPlaceState,birthPlaceCountry,birthPlaceInstitution,altBirthPlaceCity,altBirthPlaceState,altBirthPlaceCountry,deathPlaceDescription,deathPlaceParish,deathPlaceCity,deathPlaceCounty,deathPlaceState,Death Place Country,deathPlaceInstitution,altDeathPlaceCity,altDeathPlaceState,Death Place Country,Occupation #1,Occupation #2,Occupation #3,Occupation #4,Occupation #5,Occupation #6,Occupation #7,Occupation #8
36020,/opr/t0001/e1839,aaron,Aaron, ,M,,Yes,Enslaved,"Ran away to Lancaster, Ohio at the age of 29 or 30",,,Unknown. Aaron wrote of his parents that “hard work and hard usage … killed them.”,Fugitive Slave,Illiterate,Religious. Attended church while enslaved even though he was punished for doing so,https://docsouth.unc.edu/neh/aaron/menu.html,"Aaron, who used no last name, became an antislavery lecturer and memoir author who was critical of northern hypocrisy",,,,,,,1845,fl.,,,,,,,,Unkown,,,,,,,,Virginia,United States,,,,,place Unknown,,,,,,,,,,Slave , Fugitive Slave , Slave Narrative Author,,,,,
34829,/opr/t0001/e0641,abraham,Abraham, ,M,,Yes,Enslaved,Fled enslavement and made his way to Florida,,,Unknown,Fugitive Slave,No evidence of literacy,Unknown,,"Abraham escaped from slavery, joined the Seminole, acted as an interpreter following the Indian Removal Act of 1830 and fought alongside the Seminole after treaty negotiations broke down",http://www.oxfordaasc.com/doc/opr/t0001/e0641/images/inline/acref-9780190604257-graphic-0004.jpg,,,,,,1835,fl.,,,,,,,,,,,,Place unknown,,,,,,,,,,Place Unknown,,,,,,,,,,Slave , American Indian Leader , Interpreter , Fugitive Slave,,,,
35438,/opr/t0001/e1253,aliceofdunk'sferry,Alice of Dunk's Ferry, ,F,,No,Enslaved,Enslaved her entire life.,,,Parents were enslaved and came from Barbados.,No Evidence of Runaway.,Illiterate.,Christian. A member of Christ Church in Philadelphia.,,Interacted with many local notables while working at a ferry. A centenarian and oral historian.,,,,,,,1686,,,,,,,,1802,,,,,,,Philadelphia,,Pennsylvania,United States,,,,,,,Bristol,Bucks County,Pennsylvania,United States,,,,United States,Slave , Orator,,,,,,
35032,/opr/t0001/e0845,billy,Billy, ,M,,No,Enslaved,No evidence that he was freed,,,Unknown. He was listed as mixed race,Allegedly a rebel,No evidence of literacy,Unknown,,"Billy was condemned to death on charges of treason for  allegedly planning to make war on Virginia. Thomas Jefferson initiated a temporary reprieve, which the state legislature extended",,,,,,,1781,fl.,,,,,,,,,,,,Place unknown,,,,,,,,,,Place Unknown,,,,,,,,,,Slave , Alleged Traitor,,,,,,
39700,/opr/t0001/e5936,blackcaesar,Black Caesar, ,M,,Yes,Enslaved,Escaped from the slave ship on which he was being transported,,YES,Unknown,Escaped from the slave ship on which he was being transported,No evidence of literacy,No evidence of religion,,"Made a career as a pirate, joined the famed Blackbeard aboard The Queen Anne's Revenge, and was hanged for his illegal activities",,,,,,,,,Date unknown,,,,,,1718,,,,,Place unknown,,,,,West Africa,,,,,,,Williamsburg,,Virginia,United States,,,,United States,Slave , Pirate,,,,,,
36215,/opr/t0001/e2034,blindboone,Blind Boone, ,M,Freeborn,Yes,,Freeborn,,,,,,,,Free before 13th Amendment. Musician,,,,,17,3,1864,,,,,,4,10,1927,,,,,,,Miami,,Missouri,United States,,,,,,,Warrensburg,,Missouri,United States,,,,United States,Composer / Arranger , Pianist,,,,,,
35502,/opr/t0001/e1317,candy(black),Candy (Black Candy, ,F,,No (?),Enslaved,Unclear if she was ever freed. Born in Barbados; presumably enslaved from birth. Disappeared from historical record after Salem Witch Trials.,,,Unknown.,No evidence of runaway. ,No evidence of schooling. She claimed her mistress made her write her name,"Claimed to be a witch when accused in Salem, and handed over voodoo dolls.",,Subverted institution of slavery and prejudices by accusing her owner of making her into a witch.,,,,,,,,,Date unknown,,,,,,,,,,,,,,,,Barbados,,,,,,,Salem,,Massachusetts,United States,,,,United States,Slave , Witchcraft Hysteria Victim,,,,,,
35515,/opr/t0001/e1330,celia[florida],Celia (Florida), ,F,,Yes (?),Enslaved,"In 1842 her father Jacob Bryan (plantation owner) manumitted Celia's mother and several children, possibly including Celia.",,,"Father was Jacob Bryan, a white planter. Mother, Susan, was enslaved and was Bryan's common-law wife.",No evidence of runaway.,No evidence of literacy.,Unknown.,,"Executed after being charged with killing Jacob Bryan, who was her father and possibly the father of her four children. ",,,,,,,1818,,,,,,22,9,1848,,,,,,,,,Georgia,United States,,,,,,,,,Florida,United States,,,,United States,Slave , Alleged Murderer,,,,,,
35516,/opr/t0001/e1331,celia[missouri],Celia (Missouri), ,F,,No,Enslaved,Never freed.,,,Unknown.,Killed her owner in self defense. Escaped from jail while on death row but was recaptured.,No evidence of literacy.,Unknown.,,Executed by hanging in 1855 for killing her master while resisting his attempt to rape her.,,,,,,,1836,,,,,,21,12,1855,,,,,,,,,Missouri,United States,,,,,,,,,Missouri,United States,,,,United States,Slave , Alleged Murderer,,,,,,
36406,/opr/t0001/e2225,che-cho-ter,Che-Cho-Ter, ,F, ,Unknown,Enslaved,Unknown,Seminole. Seized by slave hunters ,,possibly the daughter of a former slave and a prominent Creek or Seminole man,No Evidence of Runaway.,No evidence of literacy,Unknown,,,,,Che-cho-ter,,,,1811,c.,,,,,,,,,,,,Place unknown,,,,,,,,,,place Unknown,,,,,,,,,,Slave , Legendary Figure,,,,,,
