"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS000001","VA0850300BWC","Woodstock","Shenandoah County","VA","Woodstock Police Department","Police","The Woodstock Police Department has used body-worn cameras since at least 2012.","Municipal","Body-worn Cameras","","VML Insurance Programs","https://www.vrsa.us/body-camera-footage-corroborates-police-accounts-in-woodstock-shooting/","","Virgina Risk Sharing Association","","12/27/2012","","","","","","","","","","",""
"AOS000002","IL1010400GDT","Rockford","Winnebago County","IL","Rockford Police Department","Police","The Rockford Police Department spent $310,000 on ShotSpotter gunshot detection technology in 2018.","Municipal","Gunshot Detection","","ShotSpotter","https://www.rrstar.com/news/20181006/less-gunfire-detected-in-rockford-despite-new-shotspotter-technology","","RR Star","","10/06/2018","","","","","","","","","","",""
"AOS000003","GAAPD0000GDT","Atlanta","Fulton County","GA","Atlanta Police Department","Police","The Atlanta Police Department began using ShotSpotter gunshot technology in 2018 and purchased Flock Safety Raven technology in January 2022","Municipal","Gunshot Detection","","ShotSpotter","https://www.wsbtv.com/news/local/atlanta/atlanta-police-testing-new-sensors-that-detect-sound-of-gunshots/874029120/","","WSB TV","","11/16/2018","https://www.atlantapd.org/Home/ShowDocument?id=2162","","Atlanta Police Department","","09/15/2018","https://www.cbs46.com/news/metro-atlanta-communities-to-invest-in-gun-detection-technology-to-fight-crime/article_f8341a02-6789-11ec-ae15-831cc31f2429.html","","CBS 46","","12/27/2021",""
"AOS000004","IL0720700GDT","Peoria","Peoria County","IL","Peoria Police Department","Police","The Peoria Police Department began using ShotSpotter gunshot detection in 2013.","Municipal","Gunshot Detection","","ShotSpotter","http://www.icjia.state.il.us/assets/articles/Shotspotter-Final-191213T18420528.pdf","","icjia.state.il.us","","12/13/2019","https://www.shotspotter.com/news/peoria-police-expand-use-of-shotspotter-technology-that-alerts-officers-to-gunshots/","","Shotspotter","","03/01/2015","https://web.archive.org/web/20150317034225/http://www.therepublic.com/view/story/750f3d04ff2848c7879adb372b55881c/IL--Peoria-Gunshot-Detection","","Associated Press","","03/01/2015",""
"AOS000005","NC0960100GDT","Goldsboro","Wayne County","NC","Goldsboro Police Department","Police","The Goldsboro Police Department uses ShotSpotter gunshot detection technology.","Municipal","Gunshot Detection","","ShotSpotter","https://www.cbs17.com/news/goldsboro-police-call-shotspotter-a-success/1035325074/","","CBS 17","","10/23/2017","https://www.facebook.com/goldsborodailynews/posts/officers-with-the-goldsboro-police-department-were-responding-to-a-shotspotter-a/3457493624264729/","","Goldsboro Police Department Facebook Page","","4/27/2020","","","","","",""
"AOS000006","NY0270100GDT","Rochester","Monroe County","NY","Rochester Police Department","Police","The Rochester Police Department has been using ShotSpotter gunshot detection technology since at least 2013.","Municipal","Gunshot Detection","","ShotSpotter","https://www.newyorkupstate.com/rochester/2017/01/see_how_the_gunshot_detection_system_coming_to_syracuse_works_in_rochester_video.html","","New York Up State","","01/02/2019","https://www.democratandchronicle.com/story/news/2017/11/17/shot-spotter-technology-relshot-spotter-technology-coming-under-increased-scrutiny-judicial-communit/844335001/","","Democrat and Chronical","","11/20/2017","","","","","",""
"AOS000008","NY0356300BWC","Newburgh","Orange County","NY","Newburgh Police Department","Police","The Newburgh Police Department began a body-worn camera program in 2015 and began with 20 cameras.","Municipal","Body-worn Cameras","","WatchGuard","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/u279/body-worn_camera_pilot_program.pdf","","Public Report","","09/03/2015","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/u279/o-038_body-worn_camera.pdf","","Policy Document","","08/05/2016","","","","","",""
"AOS000009","OR0290400BWC","Tillamook","Tillamook County","OR","Tillamook Police Department","Police","The Tillamook Police Department's Facebook page shows officers with body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.facebook.com/tillamookpolicedepartment/photos/a.496649310478379/837121463097827/?type=3&theater","","Tillamook Police Department Facebook","","12/15/2016","","","","","","","","","","",""
"AOS000010","NC0590000BWC","Williamston","Martin County","NC","Martin County Sheriff's Office","Sheriff","In 2016, the Martin County Sheriff’s Office purchased body-worn cameras with a $15,000 grant from the governor.","County","Body-worn Cameras","","Coban","http://www.martincountyncgov.com/_fileUploads/minutes/413201642528PM.pdf","","Martin County Board of Commissioners","","04/13/2016","https://www.facebook.com/SheriffofMartinCounty/photos/a.560147534038931/1480950511958624/?type=3&theater","","Martin County Sheriff's Facebook","","09/17/2017","","","","","",""
"AOS000011","GA0560200BWC","Peachtree City","Fayette County","GA","Peachtree City Police Department","Police","As of June 2018, all officers in the Peachtree City Police Department use body-worn cameras.","Municipal","Body-worn Cameras","","","https://thecitizen.com/2018/06/04/police-body-cameras-now-common-use-fayetteville-peachtree-city-tyrone/","","The Citizen","","06/04/2018","","","","","","","","","","",""
"AOS000012","NM0160000BWC","Deming","Luna County","NM","Luna County Sheriff's Department","Sheriff","The Luna County Sheriff's Department began using Axon body-worn cameras in 2014.","County","Body-worn Cameras","","Axon","https://investor.axon.com/press-releases/press-release-details/2014/CORRECTION---TASER-International/default.aspx","","Axon","","09/15/2014","","","","","","","","","","",""
"AOS000013","CO0190100BWC","Vail","Eagle County","CO","Vail Police Department","Police","As of 2016, all Vail Police Department officers are equipped with Coban body-worn cameras.","Municipal","Body-worn Cameras","","Coban","http://www.vailgov.com/Portals/0/docs/Police/VPD%20BWC%20policy.pdf","","Vail Police Department","","","https://www.vailgov.com/Portals/0/docs/Police/annual-reports/VPD-Annual-Report-2016.pdf","","Vail Police Department","","2016","","","","","",""
"AOS000014","TX2210000BWC","Abilene","Taylor County","TX","Taylor County Sheriff's Office","Sheriff","In April 2016, the Taylor County Sheriff's Office purchased Coban body-worn cameras with matching funds from the state Criminal Justice Division.","County","Body-worn Cameras","","Coban","https://ktxs.com/news/abilene/body-cameras-approved-for-taylor-county-sheriffs-office","","KTXS-TV","","04/05/2016","http://taylorcountytexas.org/AgendaCenter/ViewFile/Agenda/04052016-123?html=true","","Taylor County Commissioner's Court","","04/05/2016","http://archive.reporternews.com/news/local/taylor-county-commissioners-court-approves-purchase-of-body-worn-cameras-2fc0e096-6621-2b28-e053-010-374632471.html/","","Abeline Reporter News","","04/05/2016",""
"AOS000015","FL0420100BWC","Ocala","Marion County","FL","Ocala Police Department","Police","In September 2014, the Oscala Police Department received $130,775 to purchase 130 body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.usatoday.com/story/news/2014/09/18/ocala-police-body-cameras/15862567/","","Associated Press","","09/18/2014","https://www.facebook.com/watch/?v=654330455017199","","Facebook: Ocala Police Department","","09/05/2018","","","","","",""
"AOS000016","ND0180800BWC","Grand Forks","Grand Forks County","ND","University of North Dakota Police Department","Police","The University of North Dakota Police Department began using body-worn cameras in 2014.","University","Body-worn Cameras","","","https://www.prairiebusinessmagazine.com/news/education/3971414-cameras-new-officers-among-measures-bolster-und-security","","Prairie Business Magazine","","08/26/2014","","","","","","","","","","",""
"AOS000017","CO0640100ALPR","Broomfield","Broomfield County","CO","Broomfield Police Department","Police","The Broomfield Police Department uses Flock Safety automated license plate readers. Prior to that, the agency spent $19,150 on an automated license plate reader trailer in 2019. ","Municipal","Automated License Plate Readers","","Flock Safety","https://www.broomfield.org/4545/Flock-Safety-License-Plate-Readers","","City and County of Bloomfield Colorado","","","https://www.broomfield.org/DocumentCenter/View/29886/2019AnnualBudget_Final?bidId=","","City and County of Bloomfield Colorado","","2019","","","","","",""
"AOS000018","NM0261200BWC","Edgewood","Santa Fe County","NM","Edgewood Police Department","Police","The Town of Edgewood spent $7,510 on Coban-brand body-worn cameras in March 2016.","Municipal","Body-worn Cameras","","Coban","https://www.facebook.com/edgewoodpolicedepartmentnm/photos/a.961972543924308/2615310265257186/?type=3&theater","","Facebook","","12/12/2019","https://www.edgewood-nm.gov/document_center/Agendas%20Council/2016/04202016.pdf","","Town of Edgewood public meeting agenda","","4/20/2016","","","","","",""
"AOS000019","TX1230000BWC","Beaumont","Jefferson County","TX","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://co.jefferson.tx.us/agenda/agendas_pl/20160711_346/Attachments/RESOLUTION%20FOR%20BODY%20WORN%20CAMERA%20GRANT.pdf","","Jefferson County Commissioner's Court","","2016","https://www.facebook.com/jcso.beaumont/photos/a.1145453048802759/2832732920074755/?type=3&theater","","Facebook","","07/19/2019","https://www.wbrc.com/story/37999426/jefferson-county-sheriff-announces-iris-detecting-technology-as-a-way-to-track-sex-offenders/","","www.wbrc.com","","",""
"AOS000020","NY0592700ALPR","Irvington","Westchester County","NY","Irvington Police Department","Police","The Irvington Police Department has used automated license plate readers since at least 2012.","Municipal","Automated License Plate Readers","","","http://www.irvingtonny.gov/CivicAlerts.aspx?AID=911&ARC=1629","","irvington new york website","","11/04/2014","https://dailyvoice.com/new-york/tarrytown/news/irvington-police-checkpoint-yields-52-summonses/486504/","","The Daily Voice","","05/30/2012","","","","","",""
