Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Age in Years,Breed,Color
A659834,*Dudley,10/1/2013 9:31,10/1/2013 9:31,7/23/2013,Adoption,Foster,Dog,Neutered Male,2 months,0.192867199,Labrador Retriever Mix,Black
A664235,,10/1/2013 10:39,10/1/2013 10:39,9/24/2013,Transfer,Partner,Cat,Unknown,1 week,0.020393836,Domestic Shorthair Mix,Orange/White
A664237,,10/1/2013 10:44,10/1/2013 10:44,9/24/2013,Transfer,Partner,Cat,Unknown,1 week,0.020403349,Domestic Shorthair Mix,Orange/White
A664236,,10/1/2013 10:44,10/1/2013 10:44,9/24/2013,Transfer,Partner,Cat,Unknown,1 week,0.020403349,Domestic Shorthair Mix,Orange/White
A664223,Moby,10/1/2013 11:03,10/1/2013 11:03,9/30/2009,Return to Owner,,Dog,Neutered Male,4 years,4.006740868,Bulldog Mix,White
A663646,,10/1/2013 11:12,10/1/2013 11:12,9/22/2010,Transfer,Partner,Dog,Neutered Male,3 years,3.028675799,Toy Poodle Mix,White
A663888,,10/1/2013 11:13,10/1/2013 11:13,9/25/2011,Transfer,Partner,Dog,Spayed Female,2 years,2.020458524,Boxer Mix,Red/White
A663572,*Starla,10/1/2013 11:42,10/1/2013 11:42,9/21/2010,Adoption,,Dog,Spayed Female,3 years,3.031472603,Anatol Shepherd Mix,White/Brown
A663833,Baby Girl,10/1/2013 11:50,10/1/2013 11:50,9/24/2004,Return to Owner,,Dog,Spayed Female,9 years,9.026008371,Labrador Retriever Mix,Black
A656894,Jake,10/1/2013 11:53,10/1/2013 11:53,4/22/2013,Adoption,,Cat,Neutered Male,5 months,0.445192161,Domestic Shorthair Mix,Black
A661795,Blakie,10/1/2013 11:53,10/1/2013 11:53,3/25/2013,Adoption,,Cat,Spayed Female,6 months,0.52190449,Domestic Shorthair Mix,Tortie
A663342,Deco,10/1/2013 12:05,10/1/2013 12:05,9/17/2012,Euthanasia,Behavior,Dog,Neutered Male,1 year,1.03973554,Chesa Bay Retr Mix,Red/White
A664225,Lou,10/1/2013 12:13,10/1/2013 12:13,9/30/2010,Return to Owner,,Dog,Neutered Male,3 years,3.006874049,Shih Tzu Mix,Gray/White
A663546,*Gage,10/1/2013 12:24,10/1/2013 12:24,9/20/2011,Euthanasia,Aggressive,Dog,Neutered Male,2 years,2.034292237,American Bulldog Mix,White/Brown Brindle
A648744,Claire,10/1/2013 12:27,10/1/2013 12:27,3/4/2012,Return to Owner,,Dog,Spayed Female,1 year,1.579503425,Anatol Shepherd Mix,White/Tricolor
A664258,Sylvio,10/1/2013 12:27,10/1/2013 12:27,10/1/2006,Return to Owner,,Dog,Neutered Male,7 years,7.006900685,Weimaraner Mix,Silver
A613553,Beast,10/1/2013 12:32,10/1/2013 12:32,5/6/2010,Return to Owner,,Dog,Neutered Male,3 years,3.409649924,Pit Bull Mix,Black/White
A664219,,10/1/2013 12:34,10/1/2013 12:34,8/8/2013,Died,In Kennel,Cat,Intact Male,1 month,0.149379756,Domestic Shorthair Mix,Blue/White
A663495,Pikachu,10/1/2013 12:45,10/1/2013 12:45,5/19/2013,Return to Owner,,Cat,Spayed Female,4 months,0.371318493,Domestic Shorthair Mix,Torbie
A664271,,10/1/2013 12:57,10/1/2013 12:57,9/24/2013,Transfer,Partner,Cat,Intact Female,1 week,0.020656393,Domestic Shorthair Mix,Orange Tabby
A664263,,10/1/2013 12:58,10/1/2013 12:58,9/22/2013,Transfer,Partner,Cat,Intact Male,1 weeks,0.026137747,Domestic Shorthair Mix,Orange Tabby
A664262,,10/1/2013 12:59,10/1/2013 12:59,9/22/2013,Transfer,Partner,Cat,Intact Male,1 weeks,0.02613965,Domestic Shorthair Mix,Orange Tabby
A664261,,10/1/2013 13:00,10/1/2013 13:00,9/10/2013,Transfer,Partner,Cat,Intact Female,3 weeks,0.059018265,Domestic Shorthair Mix,Tortie
A664260,,10/1/2013 13:00,10/1/2013 13:00,9/10/2013,Transfer,Partner,Cat,Intact Female,3 weeks,0.059018265,Domestic Shorthair Mix,Black/White
A663938,,10/1/2013 13:16,10/1/2013 13:16,9/27/2003,Euthanasia,Suffering,Dog,Neutered Male,10 years,10.02069254,Rottweiler/Labrador Retriever,Black/Tan
A664171,Knight,10/1/2013 13:59,10/1/2013 13:59,12/30/2012,Return to Owner,,Dog,Neutered Male,9 months,0.755020928,Basset Hound Mix,Black
A663955,,10/1/2013 14:13,10/1/2013 14:13,9/27/1999,Transfer,Partner,Dog,Intact Female,14 years,14.02354072,Chihuahua Shorthair Mix,Black/Tan
A663201,Buck,10/1/2013 14:14,10/1/2013 14:14,9/14/2011,Transfer,Partner,Dog,Neutered Male,2 years,2.050939878,Pit Bull Mix,Brown/White
A663935,,10/1/2013 14:15,10/1/2013 14:15,9/26/1999,Transfer,Partner,Dog,Intact Male,14 years,14.02628425,Chihuahua Shorthair Mix,Brown
A663887,Hooch,10/1/2013 15:07,10/1/2013 15:07,9/25/2010,Euthanasia,Medical,Dog,Neutered Male,3 years,3.020903729,Pit Bull Mix,Red/White
