Event,Type,Start Date,End Date,Description (long),Cost in Billion Dollars,Deaths
Arkansas River Flooding,Flooding,20-May-19,14-Jun-19,"Historic flooding impacts the Arkansas River Basin with damage to homes, agriculture, roads, bridges and levees focused across eastern Oklahoma and western Arkansas. Thousands of homes, cars and businesses were flooded due a combination of high rivers, levee failure and persistently heavy rainfall from May 20 through June.",$3.70 ,5
California Wildfires,Wildfire,1-Sep-03,30-Nov-03,"Dry weather, high winds, and resulting wildfires in Southern California burned over 3,700 homes. Nearly 4.0 million acres burned across numerous western states including Alaska.",$6.60 ,22
Central and Eastern Severe Weather,Severe Storm,13-May-18,15-May-18,"Severe storm damage across many Central states including TX, KS, CO, OK, MO, IL, IN, IA and OH. This was followed by a derecho event across the Northeastern states of MD, NJ, NY, PA, VA, WV, MA and CT that caused widespread high wind damage. Also, there were one dozen tornadoes reported across PA, NY and CT causing further damage.",$1.70 ,5
Central and Eastern Tornadoes and Hail Storms,Severe Storm,10-May-23,12-May-23,"Dozens of tornadoes and severe hail storms from the eastern Rockies and across several central states. The most costly severe hail impacts were focused in Colorado while numerous tornadoes also impacted western Kansas, central Oklahoma and eastern Nebraska. Texas and North Dakota were also impacted from combination of high winds, hail and isolated tornadoes with damage to homes, businesses, vehicles, farms and other infrastructure.",$3.60 ,1
Central and Eastern Winter Storm,Winter Storm,1-Jan-99,4-Jan-99,"South, Southeast, Midwest, Northeast affected by damaging winter storm",$2.00 ,25
Central and Eastern Winter Storm and Cold Wave,Winter Storm,21-Dec-22,26-Dec-22,"Historic winter storm and powerful arctic front caused significant impact across much of the nation, bringing heavy rains, snow, ice and high winds that sent temperatures plummeting. More than 200 million people were under a winter weather advisory or warning and more than a million customers, from Texas to Maine, were left without power. Buffalo, New York was paralyzed by near hurricane force winds and continuous snow squalls, which contributed to dozens of fatalities in the region. Additional impacts were widespread frozen water pipes that led to extensive water damage in many homes, businesses and to other critical infrastructure.",$9.00 ,87
Central and Northeast Severe Weather,Severe Storm,24-Jun-24,26-Jun-24,"High wind, hail and tornadoes impact numerous central and northeastern states on June 24-26. Several states were impacted by tornadoes including Nebraska, Iowa, Pennsylvania, Rhode Island and Massachusetts. On June 25, an EF-3 tornado hit Whitman, Nebraska and the surrounding area. It was the first strong tornado to impact Grant County, Nebraska in more than 70 years. On June 26, a tornado that impacted Providence County, Rhode Island was the first June tornado reported in the state since records began in 1950.",$1.70 ,3
Central and Northeast Severe Weather,Severe Storm,1-May-18,4-May-18,"Numerous central states (KS, NE, OK, TX, NM, MO, IA, IL, IN, OH, WI) were impacted by large hail and tornadoes. Several northeastern states including NY, PA and VT were also impacted by high wind damage from severe storms.",$1.80 ,0
Central and Southern Severe Weather,Severe Storm,12-Mar-24,14-Mar-24,"Damaging hail, tornadoes and high wind from severe storms impact many Central and Southern states. Kansas, Oklahoma and Missouri were affected by up to baseball-sized hail damaging homes, vehicles, businesses. Illinois, Indiana and Ohio were impacted by hail, high wind and dozens of tornadoes including a deadly EF-3 striking northwest Ohio.",$6.20 ,3
Central and Southern Severe Weather,Severe Storm,15-Jun-23,18-Jun-23,"Severe storms produce over one thousand reports of damaging weather across Oklahoma, Texas, Mississippi, Georgia, Florida, Arkansas and Ohio. Among these reports were over 70 preliminary tornadoes including an EF-3 tornado in Louin, Mississippi. This combination of high winds, hail and tornadoes caused damage to homes, businesses, vehicles, agriculture and other infrastructure. The damage was most focused in Oklahoma.",$3.90 ,5
Central and Southern Tornado Outbreak,Severe Storm,26-Apr-24,28-Apr-24,"An outbreak producing more than 140 tornadoes developed across several central and southern states including Nebraska, Iowa, Kansas, Missouri, Oklahoma and Texas causing widespread damage to many homes, businesses, vehicles, agriculture and other infrastructure. Eastern Nebraska was particularly impacted by numerous strong tornadoes. Lincoln narrowly avoided a direct hit, with a large tornado touching down on the edge of the city. The same storm also spawned a mile-wide tornado that heavily damaged the towns of Elkhorn, Bennington, and Blair on the outskirts of Omaha. On April 27, an EF-4 tornado struck Marietta, Oklahoma damaging a large commercial distribution center. Near downtown Omaha another EF-3 touched down at Eppley Airfield, which destroyed several hangars and airplanes. Several tornadoes also touched down close to Topeka, Kansas while an EF-3 tornado caused extensive damage to the town of Westmoreland.",$1.70 ,3
Central Severe Weather,Severe Storm,19-Apr-23,20-Apr-23,"Severe hail, scattered tornadoes and high winds caused damage across numerous central states. Central Oklahoma was impacted by a cluster of tornadoes. Texas, Missouri, Nebraska, Kansas, Iowa, Illinois and Wisconsin was impacted by hail and high wind damage from severe storms.",$3.10 ,1
Central Severe Weather,Severe Storm,7-Jun-22,8-Jun-22,"Severe weather produced damaging hail, high wind and damage from more than two dozen tornadoes across numerous states including Colorado, Nebraska, Kansas, Missouri, Oklahoma, Texas, Iowa and Ohio. Hail and high wind damage was severe across much of Nebraska causing widespread damage to homes, businesses, vehicles, farms and agriculture and other infrastructure.",$2.00 ,0
Central Severe Weather,Severe Storm,10-Jul-20,11-Jul-20,"Central severe weather producing hundreds of severe hail and high wind reports across numerous states including Nebraska, South Dakota, Minnesota, Kansas, Oklahoma, Iowa, Illinois and Indiana. These storms caused impacts to many homes, vehicles and businesses.",$1.50 ,0
Central Tornado Outbreak,Severe Storm,25-May-24,26-May-24,"An outbreak producing more than 110 tornadoes developed across many central states. The states most affected include Missouri, Arkansas, Texas, Oklahoma, Illinois and Kentucky causing widespread damage to homes, businesses, vehicles, agriculture and other infrastructure. On May 25, an EF-3 tornado tracked through the Montague, Cooke and Denton counties of Texas, with maximum winds of 140 mph that caused seven fatalities and at least 100 injuries.",$3.50 ,16
Central Tornado Outbreak and Eastern Severe Weather,Severe Storm,31-Mar-23,1-Apr-23,"A historic tornado outbreak across numerous central states caused widespread damage from at least 145 tornadoes. States most impacted were Illinois, Indiana, Ohio, Missouri, Iowa, Arkansas, Tennessee and Pennsylvania where there was severe damage to homes, businesses, vehicles, agriculture and other infrastructure.",$5.90 ,33
"Central, Southern and Eastern Severe Weather",Severe Storm,27-Apr-20,30-Apr-20,"Severe weather across many Central, Southern and Eastern states produced primarily large hail and high winds that caused widespread damage to many homes, vehicles and businesses. The states affected included Oklahoma, Texas, Missouri, Arkansas, Louisiana, Virginia, Pennsylvania, Maryland, Delaware and New Jersey.",$1.30 ,1
"Central, Southern, Eastern Severe Weather",Severe Storm,18-May-24,22-May-24,"Severe storms across many central, southern and eastern states produced widespread impacts from several dozen tornadoes, severe hail and high winds. The states most impacted were Nebraska, Kansas, Oklahoma, Texas, Iowa and Wisconsin, as each experienced considerable damage to homes, vehicles, businesses, agriculture and additional infrastructure. On May 21, an EF-4 tornado cut a 44-mile path across southeast Iowa, with peak wind speeds of 175-185 mph. The town of Greenfield, Iowa was heavily damaged. Multiple 'Particularly Dangerous Situation (PDS)' watches were issued by NOAA's National Weather Service for these states, during this multi-day sequence. Several eastern states also sustained high wind damage from these storms.",$4.90 ,5
"Central, Southern, Southeastern Tornado Outbreak",Severe Storm,6-May-24,9-May-24,"An outbreak producing more than 165 tornadoes developed across many central, southern and southeastern states. The states most affected include Oklahoma, Kansas, Nebraska, Michigan, Indiana, Ohio, Kentucky, Tennessee, Alabama, North Carolina, South Carolina, Georgia and Florida. This multi-day tornado outbreak produced at least 61 EF-0, 79 EF-1, 13 EF-2, three EF-3, one EF-4 tornado and dozens of EF-U (unknown/unrated) tornadoes, causing widespread damage to homes, businesses, vehicles, agriculture and other infrastructure. The towns of Barnsdall and Bartlesville, Oklahoma were impacted by an EF-4 tornado that caused extensive damage.",$6.60 ,3
Central/Eastern Drought/Heat Wave,Drought,1-Jun-80,30-Nov-80,"Central and eastern U.S. drought/heat wave caused damage to agriculture and other related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 10,000.",$40.70 ,"1,260"
