,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,,Was Top 25
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes,
1,Duke,ACC,9,5,0.643,6,2,0.75,34.6,29.4,7.7,3.05,,,,,No
2,Virginia,ACC,11,3,0.786,7,1,0.875,30.8,19.6,11.01,1.44,,12,16,,Yes
3,Miami (FL),ACC,13,3,0.813,6,2,0.75,30.9,14.8,20.48,8.17,10,2,2,,Yes
4,Georgia Tech,ACC,9,4,0.692,6,2,0.75,32.2,25,8.47,2.24,,7,,,Yes
5,SMU,ACC,9,4,0.692,6,2,0.75,32.2,20.5,11.07,1.84,16,16,,,Yes
6,Pitt,ACC,8,5,0.615,6,2,0.75,33.7,24.8,8.98,3.05,,23,,,Yes
7,Louisville,ACC,9,4,0.692,4,4,0.5,29.9,21.2,9.23,2.54,,14,,,Yes
8,Wake Forest,ACC,9,4,0.692,4,4,0.5,28.1,22.1,6.04,0.51,,,,,No
9,North Carolina State,ACC,8,5,0.615,4,4,0.5,30.2,27.2,8.13,5.74,,,,,No
10,California,ACC,7,6,0.538,4,4,0.5,25.3,27.2,-0.9,-0.13,,,,,No
11,Clemson,ACC,7,6,0.538,4,4,0.5,27.2,20.5,6.42,1.73,4,4,,,Yes
12,Stanford,ACC,4,8,0.333,3,5,0.375,18.8,29.2,-2.84,5.82,,,,,No
13,Florida State,ACC,5,7,0.417,2,6,0.25,33,22,6.26,3.42,,7,,,Yes
14,North Carolina,ACC,4,8,0.333,2,6,0.25,19.3,24.5,-5.59,0,,,,,No
15,Virginia Tech,ACC,3,9,0.25,2,6,0.25,21.4,30.2,-2.78,6.22,,,,,No
16,Syracuse,ACC,3,9,0.25,1,7,0.125,20.2,34.9,-6.56,5.11,,,,,No
17,Boston College,ACC,2,10,0.167,1,7,0.125,25.4,32.8,-5.64,2.78,,,,,No
18,Tulane,American,11,3,0.786,7,1,0.875,27.7,23.9,6.72,1.43,,17,18,,Yes
19,North Texas,American,12,2,0.857,7,1,0.875,45.1,26.5,10.05,-2.81,,20,24,,Yes
20,Navy,American,11,2,0.846,7,1,0.875,31.5,25,6.09,-1.45,,22,23,,Yes
21,East Carolina,American,9,4,0.692,6,2,0.75,32.7,20.1,6.98,-1.56,,,,,No
