YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2016,2016,OK,Oklahoma,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,,Number,Number,69,69,,,,,Race/Ethnicity,Asian or Pacific Islander
2018,2018,OK,Oklahoma,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,,%,Crude Prevalence,81,81,,,67.1,89.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,OK,Oklahoma,BRFSS,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",,%,Crude Prevalence,60.1,60.1,,,50.5,68.9,Race/Ethnicity,"Other, non-Hispanic"
2018,2018,OK,Oklahoma,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,74.2,74.2,,,71.3,76.9,Overall,Overall
2018,2018,OK,Oklahoma,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,,%,Crude Prevalence,70.7,70.7,,,57.6,81.1,Race/Ethnicity,Hispanic
2018,2018,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,,%,Crude Prevalence,68.9,68.9,,,66.9,70.8,Race/Ethnicity,"White, non-Hispanic"
2018,2018,OK,Oklahoma,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,,%,Crude Prevalence,56.5,56.5,,,49.3,63.5,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,OK,Oklahoma,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,,%,Crude Prevalence,52.9,52.9,,,45.6,60.1,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.8,4.8,,,4.4,5.2,Race/Ethnicity,"White, non-Hispanic"
2017,2017,OK,Oklahoma,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,,%,Crude Prevalence,4.6,4.6,,,3.8,5.5,Race/Ethnicity,"White, non-Hispanic"
2017,2017,OK,Oklahoma,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,,%,Crude Prevalence,5.7,5.7,,,4.1,7.9,Race/Ethnicity,"White, non-Hispanic"
