LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,A G EQUIPMENT COMPANY,3401 W ALBANY ST,BROKEN ARROW,OK,74012,333132,Corporation,Unanswered,Unanswered,Unanswered,,470,04/09/2020,Arvest Bank,OK - 01
a $5-10 million,ADVANTAGE ENERGY SERVICES LLC,1010 N MAIN ST,MCALESTER,OK,74501,211120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,115,04/07/2020,Prosperity Bank,OK - 02
a $5-10 million,"AMERICAN PIPING INSPECTION, IN",17110 E Pine,TULSA,OK,74037,238210,Corporation,White,Male Owned,Non-Veteran,,344,04/03/2020,Security Bank,OK - 01
a $5-10 million,AXH HOLDINGS,2230 E 49TH ST,TULSA,OK,74105,332410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,409,04/07/2020,BancFirst,OK - 01
a $5-10 million,"B & H CONSTRUCTION, LLC",301 James Dean Dr,NORMAN,OK,73072,237110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,250,04/05/2020,First United Bank and Trust Company,OK - 04
a $5-10 million,BECCO CONTRACTORS INC,13737 E 46TH ST N,TULSA,OK,74116,237310,Corporation,Unanswered,Unanswered,Unanswered,,0,04/07/2020,Prosperity Bank,OK - 01
a $5-10 million,"BENNETT CONSTRUCTION, INC.",525 CENTRAL PARK DR,OKLAHOMA CITY,OK,73105,236117,Corporation,White,Male Owned,Non-Veteran,,429,04/03/2020,First National Bank Baird d/b/a First Bank Texas,OK - 05
a $5-10 million,"BERENDSEN FLUID POWER, INC.","401 S Boston Ave, Ste #1200 0.0",TULSA,OK,74103,423830,Corporation,Unanswered,Unanswered,Unanswered,,280,04/08/2020,"JPMorgan Chase Bank, National Association",OK - 01
a $5-10 million,BOFS MANAGEMENT LLC,210 Park Ave,OKLAHOMA CITY,OK,73102,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,494,04/06/2020,MidFirst Bank,OK - 05
a $5-10 million,CHC HOLDINGS,3105 S MERIDIAN AVE,OKLAHOMA CITY,OK,73119,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,386,04/09/2020,BancFirst,OK - 05
