Rank,Name,DOB,Date of Death,Age in Years,Days,Nationality,Age in Decimal as of 3/14/21,Living or Deceased
1,Jeanne Calment[7] ,21 February 1875 ,4 August 1997 ,122 years, 164 days[b] ,France ,122.449315068493,Deceased
2,Sarah Knauss[8] ,24 September 1880 ,30 December 1999 ,119 years, 97 days ,United States ,119.265753424658,Deceased
3,Kane Tanaka[6] ,2 January 1903 ,Living ,118 years, 71 days ,Japan ,118.194520547945,Living
4,Nabi Tajima[6] ,4 August 1900 ,21 April 2018 ,117 years, 260 days ,Japan ,117.712328767123,Deceased
5,Marie-Louise Meilleur[9] ,29 August 1880 ,16 April 1998 ,117 years, 230 days ,Canada ,117.630136986301,Deceased
6,Violet Brown[6] ,10 March 1900 ,15 September 2017 ,117 years, 189 days ,Jamaica ,117.517808219178,Deceased
7,Emma Morano[6][10] ,29 November 1899 ,15 April 2017 ,117 years, 137 days ,Italy ,117.375342465753,Deceased
8,Chiyo Miyako[6][11][12] ,2 May 1901 ,22 July 2018 ,117 years, 81 days ,Japan ,117.221917808219,Deceased
9,Lucile Randon (Sœur André)[6] ,11 February 1904 ,Living ,117 years, 31 days ,France ,117.084931506849,Living
10,Misao Okawa[6] ,5 March 1898 ,1 April 2015 ,117 years, 27 days ,Japan ,117.07397260274,Deceased
11,María Capovilla[14] ,14 September 1889 ,27 August 2006 ,116 years, 347 days ,Ecuador ,116.950684931507,Deceased
12,Susannah Mushatt Jones[6] ,6 July 1899 ,12 May 2016 ,116 years, 311 days ,United States ,116.852054794521,Deceased
13,Gertrude Weaver[6] ,4 July 1898 ,6 April 2015 ,116 years, 276 days ,United States ,116.756164383562,Deceased
14,Tane Ikai[15] ,18 January 1879 ,12 July 1995 ,116 years, 175 days ,Japan ,116.479452054795,Deceased
15,Francisca Celsa dos Santos[6] ,21 October 1904 ,Living ,116 years, 144 days ,Brazil ,116.394520547945,Living
16,Elizabeth Bolden[16] ,15 August 1890 ,11 December 2006 ,116 years, 118 days ,United States ,116.323287671233,Deceased
17,Besse Cooper[17] ,26 August 1896 ,4 December 2012 ,116 years, 100 days ,United States ,116.27397260274,Deceased
18,Maria Giuseppa Robucci[6] ,20 March 1903 ,18 June 2019[18] ,116 years, 90 days ,Italy ,116.246575342466,Deceased
19,Jeanne Bot[6] ,14 January 1905 ,Living[19] ,116 years, 59 days ,France ,116.161643835616,Living
20,Ana María Vela Rubio[6] ,29 October 1901 ,15 December 2017 ,116 years, 47 days ,Spain ,116.128767123288,Deceased
