Year,Winning Team,Winning City,Conference Winning Team,Winning Coach,Games,Total Games in Finals,Losing Team,Losing City,Conference of Losing Team,Losing Coach,Winning Goal,Winning Goal Scorer,Period Winning Goal Scored In
1927,"Ottawa Senators (C) (5, 4–1)",Ottawa,C,Dave Gill,2–0–2,4,"Boston Bruins (A) (1, 0–1)",Boston,A,Art Ross,"Cy Denneny (7:30, second)",Cy Denneny,second
1928,"New York Rangers (A) (1, 1–0)",New York,A,Lester Patrick-playing,3–2,5,"Montreal Maroons (C) (2, 1–1)",Montreal,C,Eddie Gerard,"Frank Boucher (3:35, third)",Frank Boucher,third
1929,"Boston Bruins (A) (2, 1–1)",Boston,A,Art Ross,2–0,2,"New York Rangers (A) (2, 1–1)",New York,A,Lester Patrick,"Bill Carson (18:02, third)",Bill Carson,third
1930,"Montreal Canadiens (C) (6, 3–2)",Montreal,C,Cecil Hart,2–0,2,"Boston Bruins (A) (3, 1–2)",Boston,A,Art Ross,"Howie Morenz (1:00, second)",Howie Morenz,second
1931,"Montreal Canadiens (C) (7, 4–2)",Montreal,C,Cecil Hart,3–2,5,"Chicago Black Hawks (A) (1, 0–1)",Chicago,A,Dick Irvin,"Johnny Gagnon (9:59, second)",Johnny Gagnon,second
1932,"Toronto Maple Leafs (C) (3, 3–0)",Toronto,C,Dick Irvin,3–0,3,"New York Rangers (A) (3, 1–2)",New York,A,Lester Patrick,"Ace Bailey (15:07, third)",Ace Bailey,third
1933,"New York Rangers (A) (4, 2–2)",New York,A,Lester Patrick,3–1,4,"Toronto Maple Leafs (C) (4, 3–1)",Toronto,C,Dick Irvin,"Bill Cook (7:34, OT)",Bill Cook,OT
1934,"Chicago Black Hawks (A) (2, 1–1)",Chicago,A,Tommy Gorman,3–1,4,"Detroit Red Wings (A) (1, 0–1)",Detroit,A,Jack Adams,"Mush March (10:05, second OT)",Mush March,second OT
1935,"Montreal Maroons (C) (2, 2–1)",Montreal,C,Tommy Gorman,3–0,3,"Toronto Maple Leafs (C) (5, 3–2)",Toronto,C,Dick Irvin,"Baldy Northcott (16:18, second)",Baldy Northcott,second
1936,"Detroit Red Wings (A) (2, 1–1)",Detroit,A,Jack Adams,3–1,4,"Toronto Maple Leafs (C) (6, 3–3)",Toronto,C,Dick Irvin,"Pete Kelly (9:45, third)",Pete Kelly,third
1937,"Detroit Red Wings (A) (3, 2–1)",Detroit,A,Jack Adams,3–2,5,"New York Rangers (A) (5, 2–3)",New York,A,Lester Patrick,"Marty Barry (19:22, first)",Marty Barry,first
1938,"Chicago Black Hawks (A) (3, 2–1)",Chicago,A,Bill Stewart,3–1,4,"Toronto Maple Leafs (C) (7, 3–4)",Toronto,C,Dick Irvin,"Carl Voss (16:45, second)",Carl Voss,second
1939,"Boston Bruins (4, 2–2)",Boston,,Art Ross,4–1,5,"Toronto Maple Leafs (8, 3–5)",Toronto,,Dick Irvin,"Roy Conacher (17:54, second)",Roy Conacher,second
1940,"New York Rangers (6, 3–3)",New York,,Frank Boucher,4–2,6,"Toronto Maple Leafs (9, 3–6)",Toronto,,Dick Irvin,"Bryan Hextall (2:07, OT)",Bryan Hextall,OT
1941,"Boston Bruins (5, 3–2)",Boston,,Cooney Weiland,4–0,4,"Detroit Red Wings (4, 2–2)",Detroit,,Jack Adams,"Bobby Bauer (8:43, second)",Bobby Bauer,second
1942,"Toronto Maple Leafs (10, 4–6)",Toronto,,Hap Day,4–3,7,"Detroit Red Wings (5, 2–3)",Detroit,,Jack Adams,"Pete Langelle (9:48, third)",Pete Langelle,third
1943,"Detroit Red Wings (6, 3–3)",Detroit,,Jack Adams,4–0,4,"Boston Bruins (6, 3–3)",Boston,,Art Ross,"Joe Carveth (12:09, first)",Joe Carveth,first
1944,"Montreal Canadiens (8, 5–2)",Montreal,,Dick Irvin,4–0,4,"Chicago Black Hawks (4, 2–2)",Chicago,,Paul Thompson,"Toe Blake (9:12, OT)",Toe Blake,OT
1945,"Toronto Maple Leafs (11, 5–6)",Toronto,,Hap Day,4–3,7,"Detroit Red Wings (7, 3–4)",Detroit,,Jack Adams,"Babe Pratt (12:14, third)",Babe Pratt,third
1946,"Montreal Canadiens (9, 6–2)",Montreal,,Dick Irvin,4–1,5,"Boston Bruins (7, 3–4)",Boston,,Dit Clapper,"Toe Blake (11:06, third)",Toe Blake,third
1947,"Toronto Maple Leafs (12, 6–6)",Toronto,,Hap Day,4–2,6,"Montreal Canadiens (10, 6–3)",Montreal,,Dick Irvin,"Ted Kennedy (14:39, third)",Ted Kennedy,third
1948,"Toronto Maple Leafs (13, 7–6)",Toronto,,Hap Day,4–0,4,"Detroit Red Wings (8, 3–5)",Detroit,,Tommy Ivan,"Harry Watson (11:13, first)",Harry Watson,first
1949,"Toronto Maple Leafs (14, 8–6)",Toronto,,Hap Day,4–0,4,"Detroit Red Wings (9, 3–6)",Detroit,,Tommy Ivan,"Cal Gardner (19:45, second)",Cal Gardner,second
1950,"Detroit Red Wings (10, 4–6)",Detroit,,Tommy Ivan,4–3,7,"New York Rangers (7, 3–4)",New York,,Lynn Patrick,"Pete Babando (8:31, second OT)",Pete Babando,second OT
1951,"Toronto Maple Leafs (15, 9–6)",Toronto,,Joe Primeau,4–1,5,"Montreal Canadiens (11, 6–4)",Montreal,,Dick Irvin,"Bill Barilko (2:53, OT)",Bill Barilko,OT
1952,"Detroit Red Wings (11, 5–6)",Detroit,,Tommy Ivan,4–0,4,"Montreal Canadiens (12, 6–5)",Montreal,,Dick Irvin,"Metro Prystai (6:50, first)",Metro Prystai,first
1953,"Montreal Canadiens (13, 7–5)",Montreal,,Dick Irvin,4–1,5,"Boston Bruins (8, 3–5)",Boston,,Lynn Patrick,"Elmer Lach (1:22, OT)",Elmer Lach,OT
1954,"Detroit Red Wings (12, 6–6)",Detroit,,Tommy Ivan,4–3,7,"Montreal Canadiens (14, 7–6)",Montreal,,Dick Irvin,"Tony Leswick (4:20, OT)",Tony Leswick,OT
1955,"Detroit Red Wings (13, 7–6)",Detroit,,Jimmy Skinner,4–3,7,"Montreal Canadiens (15, 7–7)",Montreal,,Dick Irvin,"Gordie Howe (19:49, second)",Gordie Howe,second
1956,"Montreal Canadiens (16, 8–7)",Montreal,,Toe Blake,4–1,5,"Detroit Red Wings (14, 7–7)",Detroit,,Jimmy Skinner,"Maurice Richard (15:08, second)",Maurice Richard,second
1957,"Montreal Canadiens (17, 9–7)",Montreal,,Toe Blake,4–1,5,"Boston Bruins (9, 3–6)",Boston,,Milt Schmidt,"Dickie Moore (0:14, second)",Dickie Moore,second
