Year,Winner,Breed,Group,Owner,Times Dog Won,Times Breed Won,Times Group Won,Times Owner Won
1907,Ch. Warren Remedy,Fox Terrier (Smooth),Terrier,Winthrop Rutherfurd,3,4,46,3
1908,Ch. Warren Remedy,Fox Terrier (Smooth),Terrier,Winthrop Rutherfurd,3,4,46,3
1909,Ch. Warren Remedy,Fox Terrier (Smooth),Terrier,Winthrop Rutherfurd,3,4,46,3
1910,Ch. Sabine Rarebit,Fox Terrier (Smooth),Terrier,F. H. Farwell,1,4,46,1
1911,Ch. Tickle Em Jock,Scottish Terrier,Terrier,A. Albright Jr.,1,8,46,1
1912,Ch. Kenmare Sorceress,Airedale Terrier,Terrier,William P. Wolcott,1,4,46,1
1913,Ch. Strathtay Prince Albert,Bulldog,Non-Sporting,Alex H. Stewart,1,2,10,1
1914,Ch. Slumber,Old English Sheepdog,Working,Mrs. Tyler Morse,1,2,15,1
1915,Ch. Matford Vic,Fox Terrier (Wire),Terrier,George W. Quintard,2,14,46,2
1916,Ch. Matford Vic,Fox Terrier (Wire),Terrier,George W. Quintard,2,14,46,2
1917,Ch. Conejo Wycollar Boy,Fox Terrier (Wire),Terrier,Mr. Bowser Briones of North Florida,2,14,46,1
1918,Ch. Haymarket Faultless,Bull Terrier (White),Terrier,R. H. Elliot,1,1,46,1
1919,Ch. Briergate Bright Beauty,Airedale Terrier,Terrier,G. L. Davis,1,4,46,1
1920,Ch. Conejo Wycollar Boy,Fox Terrier (Wire),Terrier,Mrs. Roy A. Rainey,2,14,46,1
1921,Ch. Midkiff Seductive,Spaniel (Cocker) Parti,Sporting,William T. Payne,1,1,20,1
1922,Ch. Boxwood Barkentine,Airedale Terrier,Terrier,Frederic C. Hood,1,4,46,1
1923,Not awarded,Not awarded,Not awarded,Not awarded,1,1,1,1
1924,Ch. Barberry Hill Bootlegger,Sealyham Terrier,Terrier,Bayard Warren,1,4,46,1
1925,Ch. Governor Moscow,Pointer,Sporting,Robert F. Maloney,1,3,20,1
1926,Ch. Signal Circuit of Halleston,Fox Terrier (Wire),Terrier,Stanley Halle,1,14,46,3
1927,Ch. Pinegrade Perfection,Sealyham Terrier,Terrier,Frederic C. Brown,1,4,46,1
1928,Ch. Talavera Margaret,Fox Terrier (Wire),Terrier,Reginald M. Lewis,1,14,46,1
1929,Laund Loyalty of Bellhaven,Collie (Rough),Working,Florence B. Ilch,1,1,15,1
1930,Ch. Pendley Calling of Blarney,Fox Terrier (Wire),Terrier,John G. Bates,2,14,46,2
1931,Ch. Pendley Calling of Blarney,Fox Terrier (Wire),Terrier,John G. Bates,2,14,46,2
1932,Ch. Nancolleth Markable,Pointer,Sporting,Geraldine Rockefeller Dodge,1,3,20,2
1933,Ch. Warland Protector of Shelterock,Airedale Terrier,Terrier,S. M. Stewart,1,4,46,1
1934,Ch. Flornell Spicy Bit of Halleston,Fox Terrier (Wire),Terrier,Stanley Halle,1,14,46,3
1935,Ch. Nunsoe Duc de la Terrace of Blakeen,Poodle (Standard),Non-Sporting,Mrs. Sherman Hoyt,1,4,10,1
1936,Ch. St. Margaret Mignificent of Clairedale,Sealyham Terrier,Terrier,Claire Knapp,1,4,46,1
1937,Ch. Flornell Spicy Piece of Halleston,Fox Terrier (Wire),Terrier,Stanley Halle,1,14,46,3
1938,Daro of Maridor,Setter (English),Sporting,Dwight Ellis,1,1,20,1
1939,Ferry v. Rauhfelsen of Giralda,Doberman Pinscher,Working,Geraldine Rockefeller Dodge,1,4,15,2
1940,Ch. My Own Brucie,Spaniel (Cocker) Black[B],Sporting,Herman E. Mellenthin,2,2,20,2
1941,Ch. My Own Brucie,Spaniel (Cocker) Black[B],Sporting,Herman E. Mellenthin,2,2,20,2
1942,Ch. Wolvey Pattern of Edgerstoune,West Highland White Terrier,Terrier,Constance Winant,1,2,46,2
1943,Ch. Pitter Patter of Piperscroft,Poodle (Miniature),Non-Sporting,Mrs. P. H. B. Frelinghuysen,1,3,10,1
1944,Ch. Flornell-Rare-Bit of Twin Ponds,Welsh Terrier,Terrier,Mrs. Edward P. Alker,1,1,46,1
1945,Ch. Shieling's Signature,Scottish Terrier,Terrier,Mr. & Mrs. T. H. Snethen,1,8,46,1
1946,Ch. Hetherington Model Rhythm,Fox Terrier (Wire),Terrier,Mr. & Mrs. T. H. Carruthers,1,14,46,1
1947,Ch. Warlord of Mazelaine,Boxer,Working,"Mr. & Mrs. Richard C. Kettles, Jr.",1,4,15,1
1948,Ch. Rock Ridge Night Rocket,Bedlington Terrier,Terrier,Mr. & Mrs. William A. Rockefeller,1,1,46,1
1949,Ch. Mazelaine Zazarac Brandy,Boxer,Working,Mr. & Mrs. John Phelps Wagner,1,4,15,1
1950,Ch. Walsing Winning Trick of Edgerstoune,Scottish Terrier,Terrier,Constance Winant,1,8,46,2
1951,Ch. Bang Away of Sirrah Crest,Boxer,Working,Dr. & Mrs. R. C. Harris,1,4,15,1
1952,Ch. Rancho Dobe's Storm,Doberman Pinscher,Working,Mr. & Mrs. Len Carey,2,4,15,2
1953,Ch. Rancho Dobe's Storm,Doberman Pinscher,Working,Mr. & Mrs. Len Carey,2,4,15,2
1954,Ch. Carmor's Rise and Shine,Spaniel (Cocker) ASCOB[B],Sporting,Mrs. Carl E. Morgan,1,1,20,1
1955,Ch. Kippax Fearnought,Bulldog,Non-Sporting,John A. Saylor,1,2,10,1
1956,Ch. Wilber White Swan,Poodle (Toy),Toy,Bertha Smith,1,2,11,1
1957,Ch. Shirkhan of Grandeur,Afghan Hound,Hound,"Sunny Shay, Dorothy Chenade",1,2,6,1
1958,Ch. Puttencove Promise,Poodle (Standard),Non-Sporting,Mrs. George Puttnam,1,4,10,1
1959,Ch. Fontclair Festoon,Poodle (Miniature),Non-Sporting,Clarence Dillon,1,3,10,1
1960,Ch. Chik T'Sun of Caversham,Pekingese,Toy,Mr. & Mrs. C. C. Venable,1,4,11,1
1961,Ch. Cappoquin Little Sister,Poodle (Toy),Toy,Florence Michelson,1,2,11,1
1962,Ch. Elfinbrook Simon,West Highland White Terrier,Terrier,Barbara Worcester,1,2,46,1
1963,Ch. Wakefield's Black Knight,Spaniel (English Springer),Sporting,Mrs. W. J. S. Borie,1,6,20,1
1964,Ch. Courtenay Fleetfoot of Pennyworth,Whippet,Hound,Peggy Newcombe,1,1,6,1
1965,Ch. Carmichael's Fanfare,Scottish Terrier,Terrier,Mr. & Mrs. Charles C. Stalter,1,8,46,1
1966,Ch. Zeloy Mooremaide's Magic,Fox Terrier (Wire),Terrier,Marion G. Bunker,1,14,46,1
1967,Ch. Bardene Bingo,Scottish Terrier,Terrier,E. H. Stuart,1,8,46,1
1968,Ch. Stingray of Derryabah,Lakeland Terrier,Terrier,"Mr. & Mrs. James A. Farrell, Jr.",1,2,46,1
