Name,Born,Died,Age,Profession,Drug(s),Manner,Notes
Louis Abolafia,1941,1995,54,Artist,Unspecified,Unknown,
Herb Abrams,1954,1996,42,Wrestling promoter,Cocaine,Accidental,Drug-induced heart attack
Janet Achurch,1864,1916,52,Actress,Morphine,Unknown,
Trent Acid,1980,2010,29,Wrestler,Unspecified,Unknown,
Arthur Adamov,1908,1970,61,Playwright,Barbiturates,Accidental,
Brian Adams,1963,2007,43,Wrestler,Unspecified painkillers,Accidental,
Nick Adams,1931,1968,36,Actor,Paraldehyde and promazine,Unknown,
Ai Xia,1912,1934,21,Actress,Opium,Suicide,
Ry?nosuke Akutagawa,1892,1927,35,Writer,Barbital,Suicide,
Lexii Alijai,1998,2020,21,Rapper,Fentanyl and ethanol,Unknown,
Howard Alk,1930,1982,51,Filmmaker,Heroin,Accidental,Officially accidental though speculated suicide
A. A. Allen,1911,1970,59,Evangelist,Alcohol,Unknown,
Chet Allen,1939,1984,45,Child actor,Antidepressants,Suicide,
William Barnsley Allen,1892,1933,41,Army officer,Unspecified narcotic,Accidental,
GG Allin,1956,1993,36,Musician,Heroin,Unknown,
Frances Alsop,1782,1821,38,Actress,Laudanum,Accidental,
Abraham Ángel,1905,1924,19,Artist,Cocaine,Accidental,
Pier Angeli,1932,1971,39,Actress,Barbiturates,Accidental,
Bridgette Andersen,1975,1997,21,Child actress,Heroin,Unknown,
Paul Y. Anderson,1893,1938,45,Journalist,Sleeping pills,Unknown,
Chris Antley,1966,2000,34,Jockey,Methamphetamines,Blunt trauma,The coroner's report concluded that Antley's injuries were likely related to a fall caused by the overdose
Jean Améry,1912,1978,65,Writer,Sleeping pills,Suicide,
Diane Arbus,1923,1971,48,Photographer,Barbiturates,Suicide,Arbus also slit her wrists
Reinaldo Arenas,1943,1990,47,Poet,Unspecified,Suicide,
West Arkeen,1960,1997,36,Musician,Opiates,Accidental,
Howard Arkley,1951,1999,48,Painter,Heroin,Accidental,
James Lloyd Ashbury,1834,1895,60–61,Yachtsman,Chlorodyne,Suicide,Suspected overdose
Avery Atkins,1987,2007,20,American football player,MDMA,Unknown,
Kevyn Aucoin,1962,2002,40,'Photographer, make-up artist',Unspecified painkillers,Accidental,"Aucoin's addiction to painkillers, which were prescribed, caused kidney and liver failure due to paracetamol toxicity"
Kathy Augustine,1956,2006,50,Politician,Succinylcholine,Murder,
Chet Baker,1929,1988,58,Musician,Cocaine and heroin,Accidental,Baker fell from a balcony while intoxicated
Tom Baker,1940,1982,42,Actor,Heroin,Unknown,
Albert Ballin,1857,1918,61,Shipping magnate,Sleeping pills,Suicide,
Lester Bangs,1948,1982,33,"Music critic, musician",Multiple,Unknown,"Dextropropoxyphene, diazepam and NyQuil"
Barbette,1899,1973,74,Trapeze artist,Methamphetamines,Unknown,
R. H. Barlow,1918,1951,32,Author,Barbiturates,Suicide,
Sid Barnes,1916,1973,57,Cricketer,Barbiturates and bromide,Undetermined,
Jürgen Bartsch,1946,1976,29,Serial killer,Halothane,Accidental,Accidental overdose administered by nurse
Skye McCole Bartusiak,1992,2014,21,Actress,Multiple,Accidental,"Hydrocodone, difluoroethane and carisoprodol"
Jean-Michel Basquiat,1960,1988,27,Painter,Heroin,Unknown,
Pierre Batcheff,1907,1932,24,Actor,Barbital,Suicide,
Michael Carl Baze,1987,2011,24,Jockey,Cocaine and oxymorphone,Accidental,
Patricia Beck,1924,1978,53,Writer,Insulin,Suicide,
Scotty Beckett,1929,1968,38,Child actor,Barbiturates,Unknown,
Steve Bechler,1979,2003,23,Baseball pitcher,Ephedra,Heatstroke,The coroner stated the toxicity of ephedra played a significant role in his death
Art Bell,1945,2018,72,Radio host,Prescription opioids,Accidental,"Bell's death was a combination of opioid overdose with Valium and muscle relaxants, complicated by chronic obstructive pulmonary disease and high blood pressure"
Gertrude Bell,1868,1926,57,Writer,Sleeping pills,Unknown,
John Belushi,1949,1982,33,Actor,Speedball,Accidental,
Walter Benjamin,1892,1940,48,Philosopher,Morphine,Suicide,
Jay Bennett,1963,2009,45,Musician,Fentanyl,Accidental,
Jill Bennet,1931,1990,58,Actress,Unspecified,Unknown,
Wes Berggren,1971,1999,28,Musician,Multiple,Unknown,"Benzodiazepines, cocaine and propoxyphene"
William Lee Bergstrom,1951,1985,33,Gambler,Unspecified,Suicide,
Bruce Berry,1950,1973,22,Roadie,Cocaine and heroin,Unknown,
Don Bessent,1931,1990,59,Baseball pitcher,Alcohol,Unknown,
