S#,Title,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender
1,Las Vegas Strip mass shooting,"Las Vegas, NV",10/1/2017,58,515,573,Unclear,,
2,San Francisco UPS shooting,"San Francisco, CA",6/14/2017,3,2,5,Yes,Asian,M
3,Pennsylvania supermarket shooting,"Tunkhannock, PA",6/7/2017,3,0,3,Unclear,White,M
4,Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,5,0,5,Unclear,,M
5,Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,3,0,3,Yes,White,M
6,Fresno downtown shooting,"Fresno, California",4/18/2017,3,0,3,Unclear,Black,M
7,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,5,6,11,Yes,Latino,M
8,Cascade Mall shooting,"Burlington, WA",9/23/2016,5,0,5,Yes,,M
9,Baton Rouge police shooting,"Baton Rouge, LA",7/17/2016,3,3,6,Yes,Black,M
10,Dallas police shooting,"Dallas, Texas",7/7/2016,5,11,16,Unclear,Black,M
11,Orlando nightclub massacre,"Orlando, Florida",6/12/2016,49,53,102,Unclear,Other,M
12,"Ferguson, MO Drive by","Ferguson, Missouri",4/29/2016,0,4,4,Unknown,Unknown,Unknown
13,"Forestville, Maryland Drive-by","42486, ",4/26/2016,1,4,5,Unknown,Unknown,Unknown
14,"Halifax County, VA","42484, ",4/24/2016,0,6,6,Unknown,Black American or African American,Male
15,Tire-Slashing revenge escalation,"42481, ",4/21/2016,0,4,4,Unknown,Black American or African American,Male
16,Chicago Rap video Shootout,"42479, ",4/19/2016,1,4,5,Unknown,Unknown,Unknown
17,Texas family murder-suicide,"42479, ",4/19/2016,4,0,4,Unknown,White American or European American,Male
18,Alabama highway random shooting,"42479, ",4/19/2016,1,4,4,Yes,White American or European American,Male
19,Long Beach Street murder,"42478, ",4/18/2016,0,3,4,Unknown,Unknown,Unknown
20,"Albuquerque, NM House party shooting","42469, ",4/9/2016,0,4,4,Unknown,White American or European American,Male
21,"Memphis, TN gas station shooting","42469, ",4/9/2016,0,4,4,Unknown,Unknown,Unknown
22,Chicago Birthday Party Bus Shooting,"42467, ",4/7/2016,0,5,5,Unknown,Unknown,Unknown
23,"Albuquerque, NM Family restaurant shooting","42461, ",4/1/2016,3,1,3,Unknown,Asian American,Male
24,"Richmond, Virginia","Richmond, Virginia",3/31/2016,2,2,3,Unknown,Black American or African American,Male
25,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,3,0,3,Unknown,Black American or African American,Male
26,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,2,2,3,Unknown,Unknown,Male
27,"Greenhill, AL Family murder-suicide","42454, ",3/25/2016,2,2,3,Yes,White American or European American,Male
28,"Sherman, Texas","Sherman, Texas",3/21/2016,4,0,3,Unknown,Unknown,Male
29,"Sherman, TX Family murder-suicide","42450, ",3/21/2016,4,0,3,Unknown,White American or European American,Male
30,"Louisville, Kentucky","Louisville, Kentucky",3/20/2016,4,0,3,Unknown,White American or European American,Male
31,"Louisville, KY Family Murder-Suicide","42449, ",3/20/2016,4,0,3,Yes,White American or European American,Male
32,"Plantation, Florida","Plantation, Florida",3/19/2016,1,4,5,Unknown,Unknown,Unknown
33,Wetumpka Drive-by,"42448, ",3/19/2016,2,2,4,Unknown,Black American or African American,Male
34,Spring Break Party shooting,"42448, ",3/19/2016,1,4,5,Unknown,Unknown,Unknown
35,Atlanta Nightclub shooting,"42444, ",3/15/2016,0,4,4,Unknown,Unknown,Unknown
36,Florida Family celebration ends in shooting,"42442, ",3/13/2016,0,4,4,Unknown,Unknown,Unknown
37,"Elberton, Georgia murder-suicide","42441, ",3/12/2016,2,2,3,Unknown,Unknown,Male
38,"Trenton, NJ sidewalk shooting","42440, ",3/11/2016,0,5,5,Unknown,Unknown,Unknown
39,Detroit Drive-by,"42440, ",3/11/2016,2,2,4,Unknown,Unknown,Unknown
40,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",3/9/2016,6,3,9,Unknown,Unknown,Male
41,Wilkinsburg BBQ cookout shootout,"42438, ",3/9/2016,5,3,8,Unknown,Unknown,Male
42,"Kansas City, Kansas","Kansas City, Kansas",3/7/2016,5,0,5,Unknown,Some other race,Male
43,"Lafayette, LA drive by","42436, ",3/7/2016,0,4,4,Unknown,Unknown,Unknown
44,Kansas City Home Invasion,"42436, ",3/7/2016,4,0,4,Unknown,Some other race,Male
45,"Chelsea, Massachusetts","Chelsea, Massachusetts",3/6/2016,1,6,7,Unknown,Unknown,Male
46,"Chelsea, MA empty apartment party shooting","42435, ",3/6/2016,1,6,7,Unknown,Some other race,Male
47,"Roswell, GA Hookah shootout","42435, ",3/6/2016,0,4,4,Unknown,Black American or African American,Male
48,Wichita Nightclub shooting,"42434, ",3/5/2016,0,4,4,Unknown,Unknown,Unknown
49,Detroit Strip Club Shootout,"42428, ",2/28/2016,0,5,5,Unknown,Black American or African American,Male
50,Riverside restaurant shooting,"42428, ",2/28/2016,1,3,4,Unknown,Some other race,Male
51,"Woodbridge, Virginia","Woodbridge,  Virginia",2/27/2016,2,2,4,Unknown,Black American or African American,Male
52,"Belfair, Washington","Belfair, Washington",2/26/2016,5,0,4,Unknown,White American or European American,Male
53,Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,3,14,17,Unclear,Black,M
54,"Hesston, Kansas","Hesston, Kansas",2/25/2016,4,14,17,Unknown,Black American or African American,Male
55,"Belfair, WA Family murder-suicide","42425, ",2/25/2016,5,0,4,Unknown,White American or European American,Male
56,"Glendale, Arizona","Glendale, Arizona",2/23/2016,5,0,4,Yes,Two or more races,Male
57,Arizona Family Murder,"42423, ",2/23/2016,5,0,4,Unknown,White American or European American,Male
58,Missouri Highway shooting,"42421, ",2/21/2016,1,3,4,Unknown,Black American or African American,Male
59,Houston Drive-by,"42421, ",2/21/2016,0,5,5,Unknown,Unknown,Unknown
60,Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,6,2,8,Unclear,White,M
61,"Iuka, Mississippi","Iuka, Mississippi",2/20/2016,2,3,4,Unknown,White American or European American,Male
62,"Kalamazoo, Michigan","Kalamazoo, Michigan",2/20/2016,6,2,8,Unknown,White American or European American,Male
