Season,SeasonStartYear,PlayoffYear,SeasonStatus,PlayerLeaderboardName,Player,TripleDoubles,IsTiedLeader,TeamAbbrev,Team,PlayoffQualification,PlayoffRoundReached,FinalPlayoffResult
1990-91,1990,1991,Completed,M. Johnson*,Magic Johnson,13,False,LAL,Los Angeles Lakers,Made Playoffs,NBA Finals,Runner-Up
1991-92,1991,1992,Completed,D. Robinson*,David Robinson,2,True,SAS,San Antonio Spurs,Made Playoffs,First Round,First Round
1991-92,1991,1992,Completed,G. Payton*,G. Payton*,2,True,Unknown,Unknown,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1991-92,1991,1992,Completed,M. Jordan*,M. Jordan*,2,True,Unknown,Unknown,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1991-92,1991,1992,Completed,S. Pippen*,S. Pippen*,2,True,Unknown,Unknown,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1992-93,1992,1993,Completed,C. Barkley*,Charles Barkley,6,False,PHO,Phoenix Suns,Made Playoffs,NBA Finals,Runner-Up
1993-94,1993,1994,Completed,D. Robinson*,David Robinson,5,False,SAS,San Antonio Spurs,Made Playoffs,First Round,First Round
1994-95,1994,1995,Completed,J. Kidd*,Jason Kidd,4,False,DAL,Dallas Mavericks,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1995-96,1995,1996,Completed,G. Hill*,Grant Hill,10,False,DET,Detroit Pistons,Made Playoffs,First Round,First Round
1996-97,1996,1997,Completed,G. Hill*,Grant Hill,13,False,DET,Detroit Pistons,Made Playoffs,First Round,First Round
1997-98,1997,1998,Completed,G. Hill*,G. Hill*,4,True,Unknown,Unknown,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1997-98,1997,1998,Completed,J. Kidd*,Jason Kidd,4,True,PHO,Phoenix Suns,Made Playoffs,First Round,First Round
1998-99,1998,1999,Completed,J. Kidd*,Jason Kidd,7,False,PHO,Phoenix Suns,Made Playoffs,First Round,First Round
1999-00,1999,2000,Completed,C. Webber*,Chris Webber,5,True,SAC,Sacramento Kings,Made Playoffs,First Round,First Round
1999-00,1999,2000,Completed,J. Kidd*,J. Kidd*,5,True,Unknown,Unknown,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
2000-01,2000,2001,Completed,J. Kidd*,Jason Kidd,7,False,PHO,Phoenix Suns,Made Playoffs,First Round,First Round
2001-02,2001,2002,Completed,J. Kidd*,Jason Kidd,8,False,NJN,New Jersey Nets,Made Playoffs,NBA Finals,Runner-Up
2002-03,2002,2003,Completed,K. Garnett*,Kevin Garnett,6,False,MIN,Minnesota Timberwolves,Made Playoffs,First Round,First Round
2003-04,2003,2004,Completed,J. Kidd*,Jason Kidd,9,False,NJN,New Jersey Nets,Made Playoffs,First Round,First Round
2004-05,2004,2005,Completed,J. Kidd*,Jason Kidd,8,False,NJN,New Jersey Nets,Made Playoffs,First Round,First Round
2005-06,2005,2006,Completed,J. Kidd*,Jason Kidd,8,False,NJN,New Jersey Nets,Made Playoffs,First Round,First Round
2006-07,2006,2007,Completed,J. Kidd*,Jason Kidd,12,False,NJN,New Jersey Nets,Made Playoffs,First Round,First Round
2007-08,2007,2008,Completed,J. Kidd*,Jason Kidd,13,False,Unknown,Unknown,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
2008-09,2008,2009,Completed,L. James,LeBron James,7,False,CLE,Cleveland Cavaliers,Made Playoffs,First Round,First Round
2009-10,2009,2010,Completed,L. James,LeBron James,4,False,CLE,Cleveland Cavaliers,Made Playoffs,First Round,First Round
2010-11,2010,2011,Completed,L. James,LeBron James,4,False,MIA,Miami Heat,Made Playoffs,NBA Finals,Runner-Up
2011-12,2011,2012,Completed,R. Rondo,Rajon Rondo,6,False,BOS,Boston Celtics,Made Playoffs,First Round,First Round
2012-13,2012,2013,Completed,R. Rondo,Rajon Rondo,5,False,BOS,Boston Celtics,Made Playoffs,First Round,First Round
2013-14,2013,2014,Completed,L. Stephenson,Lance Stephenson,5,False,IND,Indiana Pacers,Made Playoffs,First Round,First Round
2014-15,2014,2015,Completed,R. Westbrook,Russell Westbrook,11,False,OKC,Oklahoma City Thunder,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
