Rank ,Player ,PTS ,Season ,School
1,Bo Kimble ,1131,1989-90 ,Loyola Marymount
2,Hersey Hawkins ,1125,1987-88 ,Bradley
3,Jimmer Fredette ,1068,2010-11 ,Brigham Young
4,Kevin Bradshaw ,1054,1990-91 ,U.S. International
5,Glenn Robinson ,1030,1993-94 ,Purdue
6,Hank Gathers ,1015,1988-89 ,Loyola Marymount
7,Chris Clemons ,993,2018-19 ,Campbell
8,Stephen Curry ,974,2008-09 ,Davidson
9,Dennis Scott ,970,1989-90 ,Georgia Tech
10,Kemba Walker ,965,2010-11 ,Connecticut
 ,Mahmoud Abdul-Rauf ,965,1988-89 ,Louisiana State
12,J.J. Redick ,964,2005-06 ,Duke
13,Marcus Keene ,959,2016-17 ,Central Michigan
14,Dennis Hopson ,958,1986-87 ,Ohio State
15,Kevin Houston ,953,1986-87 ,Army
16,Glen Rice ,949,1988-89 ,Michigan
17,Justin Wright-Foreman ,948,2018-19 ,Hofstra
18,Trey Johnson ,947,2006-07 ,Jackson State
19,Reggie Hamilton ,942,2011-12 ,Oakland
 ,Danny Manning ,942,1987-88 ,Kansas
21,Doug McDermott ,934,2013-14 ,Creighton
22,Stephen Curry ,931,2007-08 ,Davidson
23,Reggie Williams ,928,2006-07 ,Virginia Military Institute
24,Adam Morrison ,926,2005-06 ,Gonzaga
 ,Allen Iverson ,926,1995-96 ,Georgetown
26,Buddy Hield ,925,2015-16 ,Oklahoma
27,Alphonso Ford ,915,1990-91 ,Mississippi Valley State
28,Stefon Jackson ,908,2008-09 ,UTEP
 ,Lionel Simmons ,908,1988-89 ,La Salle
30,Lindsey Hunter ,907,1992-93 ,Jackson State
31,Chris Clemons ,904,2016-17 ,Campbell
32,Kevin Durant ,903,2006-07 ,Texas
 ,Charles Jones ,903,1996-97 ,Long Island University
 ,Armen Gilliam ,903,1986-87 ,Nevada-Las Vegas
 ,David Robinson ,903,1986-87 ,Navy
36,Aubrey Coleman ,896,2009-10 ,Houston
37,Mahmoud Abdul-Rauf ,889,1989-90 ,Louisiana State
38,Terrell Lowery ,884,1990-91 ,Loyola Marymount
39,Tyler Hansbrough ,882,2007-08 ,North Carolina
 ,Daren Queenan ,882,1987-88 ,Lehigh
41,Jordan Howard ,880,2017-18 ,Central Arkansas
 ,Lester Hudson ,880,2008-09 ,Tennessee-Martin
43,Mike Daum ,878,2016-17 ,South Dakota State
44,Andrew Goudelock ,877,2010-11 ,College of Charleston
45,Trae Young ,876,2017-18 ,Oklahoma
46,Kevin Bradshaw ,875,1989-90 ,U.S. International
47,Carsen Edwards ,874,2018-19 ,Purdue
 ,Dave Jamerson ,874,1989-90 ,Ohio
49,T.J. Warren ,871,2013-14 ,NC State
50,Charles Jones ,869,1997-98 ,Long Island University
 ,Stacey King ,869,1987-88 ,Oklahoma
52,Michael Beasley ,866,2007-08 ,Kansas State
53,R.J. Barrett ,860,2018-19 ,Duke
 ,Danny Manning ,860,1986-87 ,Kansas
55,Stacey King ,859,1988-89 ,Oklahoma
56,Doremus Bennerman ,858,1993-94 ,Siena
57,Jhivvan Jackson ,856,2019-20 ,UTSA
58,Andre Spight ,855,2017-18 ,Northern Colorado
 ,Donyell Marshall ,855,1993-94 ,Connecticut
60,Jermaine Marrow ,854,2018-19 ,Hampton
 ,Jodie Meeks ,854,2008-09 ,Kentucky
 ,Terrance Bailey ,854,1985-86 ,Wagner
63,Kay Felder ,853,2015-16 ,Oakland
64,Steve Rogers ,852,1990-91 ,Alabama State
65,Markus Howard ,851,2018-19 ,Marquette
66,Scott Skiles ,850,1985-86 ,Michigan State
67,Khalid Reeves ,848,1993-94 ,Arizona
68,Lester Hudson ,847,2007-08 ,Tennessee-Martin
 ,Randy Woods ,847,1991-92 ,La Salle
 ,Lionel Simmons ,847,1989-90 ,La Salle
71,Antoine Mason ,846,2013-14 ,Niagara
72,John Wallace ,845,1995-96 ,Syracuse
73,Morris Almond ,844,2006-07 ,Rice
 ,Marcus Fizer ,844,1999-00 ,Iowa State
75,Jay Williams ,841,2000-01 ,Duke
 ,Gerald Glass ,841,1988-89 ,Mississippi
77,Keydren Clark ,840,2005-06 ,Saint Peter's
78,Quincy Douby ,839,2005-06 ,Rutgers
 ,Troy Murphy ,839,1999-00 ,Notre Dame
80,Trey Freeman ,838,2015-16 ,Old Dominion
81,Gary Trent ,837,1993-94 ,Ohio
82,Mike Daum ,836,2017-18 ,South Dakota State
 ,Rodney Monroe ,836,1990-91 ,NC State
84,Mike Daum ,835,2018-19 ,South Dakota State
85,Doug McDermott ,834,2012-13 ,Creighton
86,Steve Rogers ,831,1989-90 ,Alabama State
87,David Holston ,830,2008-09 ,Chicago State
 ,Von McDade ,830,1990-91 ,Milwaukee
89,Walter Berry ,828,1985-86 ,St. John's (NY)
90,Keegan Murray ,822,2021-22 ,Iowa
 ,Antawn Jamison ,822,1997-98 ,North Carolina
 ,Larry Johnson ,822,1989-90 ,Nevada-Las Vegas
93,Billy Baron ,821,2013-14 ,Canisius
 ,Derrick Chievous ,821,1986-87 ,Missouri
95,Jason Conley ,820,2001-02 ,Virginia Military Institute
96,Lamine Diane ,818,2018-19 ,Cal State Northridge
 ,Ray Allen ,818,1995-96 ,Connecticut
 ,Eric Murdock ,818,1990-91 ,Providence
99,Henry Domercant ,817,2001-02 ,Eastern Illinois
100,Jon Elmore ,816,2017-18 ,Marshall
 ,Marc Brown ,816,1990-91 ,Siena
 ,Harvey Grant ,816,1987-88 ,Oklahoma
