name,Nationality,Current status,gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,hair,height_in,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color,feet,inches,birth_age,death_age,birth_year,death_year,years_alive,series
Meri do Ahlan a'Conlin,Murandian,Alive,Female,Plump,NS 5,NS 5,Murandy,Lady,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Katrine do Catalan a'Coralle,Murandian,Dead,Female,NA,NA,NA,Murandy,Queen of Murandy,Queen,FY 1048,NS 5,NS 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FY,NA,1048,NA,wot
Nisain a'Cowel,Murandian,Alive,Female,Gangly,COT 19,COT 19,White Tower,NA,Aes Sedai,NA,NA,NA,873 NE,Startlingly blue,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,873,NA,NA,wot
Cian do Mehon a'Macansa,Murandian,Alive,Female,Stocky,TPOD 17,TPOD 18,NA,Lady,NA,NA,NA,NA,NA,Dark,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Elaida do Avriny a'Roihan,Murandian,Alive,Female,NA,NS 5,TOM 47,White Tower,NA,Aes Sedai,NA,NS 2,NA,950 NE,Dark,Red Ajah,NA,66,Damane,NA,NA,NA,NA,NA,NA,NA,5,6,NE,NA,950,NA,NA,wot
Segan do Avharin a'Roos,Murandian,Alive,Female,Slender,TPOD 17,TPOD 18,NA,Lady,NA,NA,NA,NA,NA,Dark,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Ellid Abareim,Unknown nationality,Dead,Female,NA,NS 8,NS 8,NA,NA,Accepted,979 NE,NS 4,NS 14,NA,"Large, sapphire colored",NA,Golden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,979,NA,wot
Rubinde Acedone,Mayener,Alive,Female,Sturdy,TPOD 25,AMOL Epilogue,White Tower,NA,Aes Sedai,NA,NA,NA,853 NE,"Blue, like sapphires",Green Ajah,Dark,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,853,NA,NA,wot
Adela,Altaran,Alive,Female,Lanky,KOD 6,KOD 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stableman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adelin,Aiel,Alive,Female,NA,TSR 37,TFOH 44,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,NA,NA,Taardad,Jindo,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adria,Unknown nationality,Alive,Female,Slim,WH 15,COT 2,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Adrielle,Unknown nationality,Alive,Female,NA,KOD 27,KOD 27,Turning,NA,Aes Sedai,NA,NA,NA,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aelidas,Unknown nationality,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aelmara,Unknown nationality,Alive,Female,NA,KOD 23,KOD 23,Romanda Cassin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
