Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Justin Abdelkader\abdelju01,31,DET,LW,71,6,13,19,-14,38,0.1,4,1,1,0,12,1,0,95,6.3,1093,15:24,34,185,52,51,50.5
2,Pontus Aberg\abergpo01,25,TOT,LW,59,12,13,25,-14,20,2.0,9,3,0,1,9,4,0,101,11.9,861,14:36,11,45,2,17,10.5
2,Pontus Aberg\abergpo01,25,ANA,LW,37,11,8,19,-10,14,1.8,8,3,0,1,7,1,0,74,14.9,578,15:37,7,31,2,9,18.2
2,Pontus Aberg\abergpo01,25,MIN,LW,22,1,5,6,-4,6,0.2,1,0,0,0,2,3,0,27,3.7,283,12:52,4,14,0,8,0.0
3,Vitaly Abramov\abramvi01,20,OTT,RW,1,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,0,,14,13:52,1,0,0,0,
4,Noel Acciari\acciano01,27,BOS,C,72,6,8,14,-3,47,0.4,6,0,0,2,8,0,0,99,6.1,935,12:59,36,221,200,203,49.6
5,Kenny Agostino\agostke01,26,TOT,LW,63,6,18,24,-3,34,1.6,6,0,0,0,13,5,0,79,7.6,814,12:55,14,143,15,27,35.7
5,Kenny Agostino\agostke01,26,MTL,LW,36,2,9,11,-1,26,0.5,2,0,0,0,6,3,0,38,5.3,403,11:11,4,80,8,14,36.4
5,Kenny Agostino\agostke01,26,NJD,LW,27,4,9,13,-2,8,1.1,4,0,0,0,7,2,0,41,9.8,411,15:13,10,63,7,13,35.0
6,Andrew Agozzino\agozzan01,28,COL,LW,11,1,1,2,2,0,0.2,1,0,0,0,1,0,0,11,9.1,86,7:49,3,14,16,22,42.1
7,Sebastian Aho\ahose01,21,CAR,C,82,30,53,83,25,26,9.8,23,3,4,7,31,21,1,243,12.3,1652,20:09,34,65,585,619,48.6
8,Mark Alt\altma01,27,COL,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,20,9:55,2,0,0,0,
9,Karl Alzner\alzneka01,30,MTL,D,9,0,1,1,1,2,0.3,0,0,0,0,1,0,0,8,0.0,156,17:18,10,13,0,0,
10,Michael Amadio\amadimi01,22,LAK,C,43,6,7,13,-1,6,1.3,6,0,0,0,7,0,0,37,16.2,439,10:12,13,16,96,127,43.0
